date,income,expenses,investments,tax_liability
2025-01-01,4187510,290106,851392,749480.8
2025-01-02,393327,120190,111109,24627.4
2025-01-03,464794,153071,136744,32344.6
2025-01-04,2666071,126283,647466,477957.6
2025-01-05,4969920,2217980,727128,520388.0
2025-01-06,1963012,645300,484273,233542.4
2025-01-07,4029422,822342,1093959,611416.0
2025-01-08,1614215,139985,255900,264846.0
2025-01-09,429183,113249,60168,33186.8
2025-01-10,4831112,1543661,825866,627490.2
2025-01-11,4335540,541893,1226967,728729.4
2025-01-12,726720,310042,209441,53335.6
2025-01-13,4003868,2154612,466234,339851.2
2025-01-14,4701954,2645704,1149175,381250.0
2025-01-15,2747127,954094,211373,328606.6
2025-01-16,4788952,827307,1186704,762329.0
2025-01-17,3082592,700411,599304,446436.2
2025-01-18,344208,122163,77335,14409.0
2025-01-19,3266490,756620,117647,471974.0
2025-01-20,3128560,1720341,411079,251643.8
2025-01-21,4314736,1358447,61586,561257.8
2025-01-22,4710875,1660251,663263,580124.8
2025-01-23,4967803,390363,990772,885488.0
2025-01-24,3703624,454327,823544,619859.4
2025-01-25,3981066,2338595,1125069,298494.2
2025-01-26,2111426,202671,525590,351751.0
2025-01-27,4032378,1867935,986098,402888.6
2025-01-28,3161432,107050,920964,580876.4
2025-01-29,2676658,1102596,54743,284812.4
2025-01-30,4607148,1744910,116278,542447.6
2025-01-31,1822603,417709,53667,250978.8
2025-02-01,1787055,844789,352917,158453.2
2025-02-02,435073,175539,76847,21906.8
2025-02-03,3539981,495939,789946,578808.4
2025-02-04,2483353,276398,348957,411391.0
2025-02-05,1632915,607141,298871,175154.8
2025-02-06,3554672,1359399,519371,409054.6
2025-02-07,1204355,483843,355732,114102.4
2025-02-08,766028,233017,212159,76602.2
2025-02-09,3009491,1570630,834294,257772.2
2025-02-10,698292,102812,103900,89096.0
2025-02-11,3471519,1273332,76040,409637.4
2025-02-12,4202329,1999955,441055,410474.8
2025-02-13,1327121,560293,186295,123365.6
2025-02-14,3503042,1380518,935320,394504.8
